_id,synthetic_question,synthetic_answer
4499095,What is the building's architectural style?,The property is located in an iconic Harry Seidler building.
19063118,What type of bed is in the room?,Twin size bed.
17618903,What amenities does the property offer for families with children?,"The property includes a kids play room, which can be a great space for families with children to enjoy."
7116864,What is the closest subway station to the property?,"The Columbus Circle subway station is the closest, just steps from the property's front door."
180653,What amenities are available in the living room?,"The living room has a 60-inch flat panel TV with Roku 3 box, a VHS/Blu-ray DVD/CD player, a clock radio alarm, and a vintage record player."
16078811,What is the maximum number of people that can sleep in this condo?,6
16300644,What neighborhood is the property located in?,Williamsburg
1073607,What type of room is available for booking in this property?,A large and sunny double room.
25377740,How many people can the apartment accommodate?,Up to 6 people.
17370308,What is a nearby attraction to the property?,Kamaole Beach Park III is a popular family-friendly beach right across the street from the property.
15702989,What is the unique architectural style of the apartment building?,"The building has a centenary design, dating back to around 1910, featuring original wooden floors and stucco ceilings, blending historical charm with contemporary decor."
7815865,What amenities does the property offer?,"The property is a one-bedroom apartment with a kitchenette, two bathrooms, and a living room with a sofa bed that can accommodate two people. It is a serviced apartment, implying that it includes amenities such as housekeeping, maintenance, and possibly other services like a concierge or laundry facilities."
7976534,What is the size of the rooms in square meters?,The rooms range from 6 to 10 square meters.
18253139,What is the general atmosphere of the property?,"The property is described as a tropical garden-like setting, with a clean, comfortable, and relaxing atmosphere, creating a home away from home experience."
21053564,What type of bed does the property have?,The property has a double bed.
6813540,What is the closest MTR station to the property?,"Yau Ma Tei MTR station is the closest, just a 1-minute walk away."
29576644,What is the closest shopping centre to this property?,"The Westfield Shopping Centre in Hurstville is the closest shopping centre, just a 5-minute drive away."
32281660,What is the apartment's proximity to shopping and dining options?,"The apartment is located in the heart of Causeway Bay, a major shopping district, and is surrounded by numerous restaurants, bars, and a wet market with fresh seafood and groceries. It is also close to Times Square, a popular shopping hub, and the Jockey Club, where you can watch horse races on Wednesday evenings."
